2,Happy Vet,Jl. Setia Budi,3.56780000,98.65430000,4.7,09:00-22:00,0813,Tinggi,Buka,0101000020E610000076711B0DE0A95840B459F5B9DA8A0C40
3,Animal Care,Jl. Asia,3.58010000,98.70020000,4.2,09:00-21:00,0814,Murah,Buka,0101000020E6100000302AA913D0AC5840DC4603780BA40C40
4,Vet Medika,Jl. Krakatau,3.60030000,98.71040000,4.6,08:00-22:00,0815,Tinggi,Buka,0101000020E610000005C58F3177AD5840764F1E166ACD0C40
5,Pet House,Jl. Thamrin,3.59020000,98.72050000,4.1,08:00-20:00,0816,Murah,Buka,0101000020E6100000273108AC1CAE584029CB10C7BAB80C40
6,Sehat Pet,Jl. Denai,3.61010000,98.73020000,4.0,09:00-21:00,0817,Sedang,Buka,0101000020E610000082E2C798BBAE58401A51DA1B7CE10C40
7,Care Center,Jl. Amplas,3.62050000,98.74010000,4.4,08:00-22:00,0818,Tinggi,Buka,0101000020E610000041F163CC5DAF5840105839B4C8F60C40
8,Vet Plus,Jl. Marelan,3.63010000,98.75020000,4.3,08:00-21:00,0819,Sedang,Buka,0101000020E6100000645DDC4603B0584043AD69DE710A0D40
9,Pet Medan,Jl. Cemara,3.64020000,98.76030000,4.5,09:00-22:00,0820,Tinggi,Buka,0101000020E610000086C954C1A8B058409031772D211F0D40
10,Sahabat Satwa,Jl. Ringroad,3.58900000,98.69010000,4.3,08:00-20:00,0821,Murah,Buka,0101000020E61000000EBE30992AAC584083C0CAA145B60C40
1,Klinik Hewan Medan Pet Care,Jl. Gatot Subroto,3.59520000,98.67220000,4.8,08:00-21:00,0812,Sedang,Buka,0101000020E6100000C217265305AB584034A2B437F8C20C40
39,Praktek Dokter Hewan Medvet Animal Clinic,"Jl. Arteri Ring Road No.19, Tj. Sari, Medan Selayang",3.56140000,98.62600000,5.0,08:00-21:00,081234567899,Sedang,Buka,0101000020E6100000F2D24D6210A8584092CB7F48BF7D0C40
40,Praktek Dokter Hewan Medvet Animal Clinic,"Jl. Arteri Ring Road No.19, Tj. Sari, Medan Selayang",3.56140000,98.62600000,5.0,08:00-21:00,081234567899,Sedang,Buka,0101000020E6100000F2D24D6210A8584092CB7F48BF7D0C40
